source_type;source_value;video_url;caption_raw;transcript_raw;overlay_text_raw;face_detected;face_dominant_emotion;face_emotion_score;visual_blur;visual_brightness;caption_risk;transcript_risk;overlay_risk;face_detected_numeric;rf_target;rf_risk_prob;high_text_risk
hashtag;mentalbreakdown;https://www.tiktok.com/@galerimi.bosaltiy/video/7518005372590853392;mental breakdown;动情;;False;;0.0;65.34266879767124;134.4251437717014;0.0295445155352354;0.9996551275253296;0.0;0;1;0.47965917843569356;1
hashtag;mentalbreakdown;https://www.tiktok.com/@lucky_.lucyy/video/7581724148762774815;i feel so lonely bruh #fyp #real #relatable #zyxcba #viral;I hardly feel anything at all;wheni'm having a mental breakdown and don't know who to call so i iwk js break down even more;False;;0.0;223.0347677746243;113.94050347222222;0.0001380825415253;0.0019282932626083;0.9999275207519532;0;0;0.2494039513644066;0
hashtag;mentalbreakdown;https://www.tiktok.com/@sadgirlnelle/video/7354899243917643051;;This house is not the same. It is not.;me trying to calm myself all alone because i feel the random mental of sudden breakdown coming back all;True;sad;98.57857513427734;532.9081098646998;25.753599378797745;0.0;0.0661475583910942;0.9997968077659608;1;0;0.536976618560531;0
hashtag;mentalbreakdown;https://www.tiktok.com/@lamentravoid1/video/7581091802799787265;#fyp #viral #edits #xybca #trending;;when no one notices that you're slowly giving up and mentally drained because you keep smiling and pretending that nothing's wrong: ebde reac;False;;0.0;1129.956072498444;113.68321180555556;0.000197515648324;0.0;0.0003877991111949;0;0;0.2816967488691391;0
hashtag;mentalbreakdown;https://www.tiktok.com/@mental.brokedown/video/7431073805755223318;;music;when mental breakdown hits me again.;False;;0.0;537.2089433367886;11.972027248806423;0.0;0.0521634817123413;0.9670022130012512;0;0;0.5161179997399286;0
hashtag;mentalbreakdown;https://www.tiktok.com/@rraap.p/video/6900514878734339329;#sad #fyp #esthetic #vibes 🙂;But if you loved me, why'd you leave me? Take my body, take my body;mental breakdown;False;;0.0;108.41325377610524;24.54123772515191;0.0001587409205967;0.0262567829340696;0.0295445155352354;0;0;0.3982992457373174;0
hashtag;mentalbreakdown;https://www.tiktok.com/@nocti_halcy0n_/video/7576428472432610582;my mood swings need to be studied.#possession1981 #vent #fyp #mentalhealth #bpd;;breakdown last night didn't just have the worst;True;sad;90.71803283691406;94.46987198831734;55.50283975585711;0.0551261827349662;0.0;0.0002058086975011;1;0;0.21383368789212234;0
hashtag;mentalbreakdown;https://www.tiktok.com/@deeznutssinyourmouthh/video/7539050595546631479;but then i realize i can’t let other people know the other side of me, so i sorta just thug it out #sad #relatable #fyp #thuglife #latenightthoughts;I'm drifting from my innocence I wanna be a kid again;having a mental breakdown late at night realizing i just need a hug from someone;True;neutral;75.50287628173828;223.9252005009808;109.96488304828974;0.000126366445329;0.0001126785937231;0.0001112180543714;1;0;0.25654055282978144;0
hashtag;mentalbreakdown;https://www.tiktok.com/@dailymotivationcult/video/7317743427410496800;#insparation #motivation #startlivingyourlifenow #loveyou #mentalhealth #mentalbreakdown speaker @lei.lyn;This video is a little different, but this is for the girl that feels like she just needs a hug. I want to tell you that I'm proud of you. I'm proud of you for eating when it's the last thing you want to do. I'm proud of you for fighting the battles that nobody knows that you go through. I'm proud of you for fighting through your past traumas because I know that those hurt too. I just want to say that I'm proud of you for being you. I know that this world has been really mean to you. I know that you're sad a lot of the time. I know that you feel guilty for things that weren't your fault, but I want you to know that God is not done working on you. I know somebody may have not taken care of you when they should have. I know where you were supposed to feel safe was really dangerous for you, but I want to remind you that the hurt that you've been through and the feeling that you feel now, they don't disqualify you from being loved properly. I know that sometimes you feel disgusted with yourself. Like you feel gross, you feel contaminated, you feel like you're not worth it, but I want to remind you that you are worth every, every breath that you take. And if no one's told you, I am so sorry for what happened to you. I'm sorry. You didn't deserve it. Because I know that little girl and you just want to be validated. You just want somebody to say that you didn't deserve it. And I heartily as your sister in Christ want to tell you that I know that you didn't deserve it. I know you didn't. And I know you're trying everything in your power to heal from it. I know that you're trying to understand it. I know that you're trying to move on from it. I know. So nobody told you today. I am so proud of you. I want you to know that even if I don't literally, I see you, I hear you. I'm so proud of you.;;True;happy;71.7422866821289;31.23318630495729;37.85137939453125;0.104737676680088;0.0;0.0;1;0;0.2432541574712652;0
hashtag;mentalbreakdown;https://www.tiktok.com/@imisswho1wasbefore/video/7561247312006204703;;like look at me, look at me, look at me, look at me, look at me, look at me Cause I exist, I exist, I exist, I exist, I exist, I exist, I exist;;True;fear;61.58271789550781;19.39384620259573;61.24638027615018;0.0;0.0009583538630977;0.0;1;0;0.3403058548838396;0
